ortho	lemme	cgram
a	a	NOM
a	avoir	AUX
a	avoir	VER
a capella	a capella	ADV
a cappella	a cappella	ADV
a contrario	a contrario	ADV
a fortiori	a fortiori	ADV
a giorno	a giorno	ADV
a jeun	à jeun	ADV
a l'instar	a l'instar	PRE
a posteriori	a posteriori	ADV
a priori	a priori	ADV
a priori	a priori	NOM
aa	aa	NOM
ab absurdo	ab absurdo	ADV
ab initio	ab initio	ADV
ab ovo	ab ovo	ADV
abaca	abaca	NOM
abaissa	abaisser	VER
abaissai	abaisser	VER
abaissaient	abaisser	VER
abaissait	abaisser	VER
abaissant	abaissant	ADJ
abaissant	abaisser	VER
abaissante	abaissant	ADJ
abaisse	abaisse	NOM
abaisse	abaisser	VER
abaisse-langue	abaisse-langue	NOM
abaissement	abaissement	NOM
abaissent	abaisser	VER
abaisser	abaisser	VER
abaissera	abaisser	VER
abaisserai	abaisser	VER
abaisseraient	abaisser	VER
abaisserais	abaisser	VER
abaisserait	abaisser	VER
abaisses	abaisser	VER
abaissez	abaisser	VER
abaissons	abaisser	VER
abaissèrent	abaisser	VER
abaissé	abaisser	VER
abaissé	abaissé	ADJ
abaissée	abaisser	VER
abaissée	abaissé	ADJ
abaissées	abaisser	VER
abaissées	abaissé	ADJ
abaissés	abaisser	VER
abaissés	abaissé	ADJ
abalone	abalone	NOM
abalones	abalone	NOM
abandon	abandon	NOM
abandonna	abandonner	VER
abandonnai	abandonner	VER
abandonnaient	abandonner	VER
abandonnais	abandonner	VER
abandonnait	abandonner	VER
abandonnant	abandonner	VER
abandonnas	abandonner	VER
abandonne	abandonner	VER
abandonnent	abandonner	VER
abandonner	abandonner	VER
abandonnera	abandonner	VER
abandonnerai	abandonner	VER
abandonneraient	abandonner	VER
abandonnerais	abandonner	VER
abandonnerait	abandonner	VER
abandonneras	abandonner	VER
abandonnerez	abandonner	VER
abandonneriez	abandonner	VER
abandonnerions	abandonner	VER
abandonnerons	abandonner	VER
abandonneront	abandonner	VER
abandonnes	abandonner	VER
abandonneurs	abandonneur	NOM
abandonnez	abandonner	VER
abandonniez	abandonner	VER
abandonnions	abandonner	VER
abandonnique	abandonnique	ADJ
abandonnons	abandonner	VER
abandonnâmes	abandonner	VER
abandonnât	abandonner	VER
abandonnèrent	abandonner	VER
abandonné	abandonner	VER
abandonné	abandonné	ADJ
abandonnée	abandonner	VER
abandonnée	abandonné	ADJ
abandonnées	abandonner	VER
abandonnées	abandonné	ADJ
abandonnés	abandonner	VER
abandonnés	abandonné	ADJ
abandons	abandon	NOM
abaque	abaque	NOM
abasourdi	abasourdi	ADJ
abasourdi	abasourdir	VER
abasourdie	abasourdi	ADJ
abasourdie	abasourdir	VER
abasourdir	abasourdir	VER
abasourdis	abasourdi	ADJ
abasourdis	abasourdir	VER
abasourdissant	abasourdissant	ADJ
abasourdissants	abasourdissant	ADJ
abat	abat	NOM
abat	abattre	VER
abat-jour	abat-jour	NOM
abat-son	abat-son	NOM
abatage	abatage	NOM
abatis	abatis	NOM
abats	abat	NOM
abats	abattre	VER
abattage	abattage	NOM
abattages	abattage	NOM
abattaient	abattre	VER
abattais	abattre	VER
abattait	abattre	VER
abattant	abattant	NOM
abattant	abattre	VER
abattants	abattant	NOM
abatte	abattre	VER
abattement	abattement	NOM
abattements	abattement	NOM
abattent	abattre	VER
abattes	abattre	VER
abatteur	abatteur	NOM
abatteurs	abatteur	NOM
abattez	abattre	VER
abattiez	abattre	VER
abattions	abattre	VER
abattirent	abattre	VER
abattis	abattis	NOM
abattis	abattre	VER
abattit	abattre	VER
abattoir	abattoir	NOM
abattoirs	abattoir	NOM
abattons	abattre	VER
abattra	abattre	VER
abattrai	abattre	VER
abattraient	abattre	VER
abattrais	abattre	VER
abattrait	abattre	VER
abattras	abattre	VER
abattre	abattre	VER
abattrez	abattre	VER
abattriez	abattre	VER
abattrons	abattre	VER
abattront	abattre	VER
abattu	abattre	VER
abattu	abattu	ADJ
abattu	abattu	NOM
abattue	abattre	VER
abattue	abattu	ADJ
abattues	abattre	VER
abattues	abattu	ADJ
abattures	abatture	NOM
abattus	abattre	VER
abattus	abattu	ADJ
abattus	abattu	NOM
abbatial	abbatial	ADJ
abbatiale	abbatial	ADJ
abbatiale	abbatiale	NOM
abbatiales	abbatial	ADJ
abbaye	abbaye	NOM
abbayes	abbaye	NOM
abbesse	abbé	NOM
abbesses	abbé	NOM
abbé	abbé	NOM
abbés	abbé	NOM
abc	abc	NOM
abcès	abcès	NOM
abdication	abdication	NOM
abdications	abdication	NOM
abdiqua	abdiquer	VER
abdiquai	abdiquer	VER
abdiquaient	abdiquer	VER
abdiquais	abdiquer	VER
abdiquait	abdiquer	VER
abdiquant	abdiquer	VER
abdique	abdiquer	VER
abdiquer	abdiquer	VER
abdiquera	abdiquer	VER
abdiquerais	abdiquer	VER
abdiquerait	abdiquer	VER
abdiquez	abdiquer	VER
abdiqué	abdiquer	VER
abdiquée	abdiquer	VER
abdomen	abdomen	NOM
abdominal	abdominal	ADJ
abdominale	abdominal	ADJ
abdominales	abdominal	ADJ
abdominaux	abdominal	ADJ
abdominaux	abdominal	NOM
abdos	abdos	NOM
abducteur	abducteur	ADJ
abduction	abduction	NOM
abeille	abeille	NOM
abeilles	abeille	NOM
aber	aber	NOM
aberrant	aberrant	ADJ
aberrant	aberrer	VER
aberrante	aberrant	ADJ
aberrantes	aberrant	ADJ
aberrants	aberrant	ADJ
aberration	aberration	NOM
aberrations	aberration	NOM
abhorrais	abhorrer	VER
abhorrait	abhorrer	VER
abhorrant	abhorrer	VER
abhorre	abhorrer	VER
abhorrer	abhorrer	VER
abhorrez	abhorrer	VER
abhorré	abhorrer	VER
abhorré	abhorré	ADJ
abhorrée	abhorrer	VER
abhorrée	abhorré	ADJ
abhorrés	abhorrer	VER
abject	abject	ADJ
abjecte	abject	ADJ
abjectement	abjectement	ADV
abjectes	abject	ADJ
abjection	abjection	NOM
abjections	abjection	NOM
abjects	abject	ADJ
abjurant	abjurer	VER
abjuration	abjuration	NOM
abjurations	abjuration	NOM
abjure	abjurer	VER
abjurer	abjurer	VER
abjurez	abjurer	VER
abjurons	abjurer	VER
abjuré	abjurer	VER
abkhaze	abkhaze	ADJ
ablatif	ablatif	NOM
ablation	ablation	NOM
ablations	ablation	NOM
able	able	NOM
ablette	ablette	NOM
ablettes	ablette	NOM
ablution	ablution	NOM
ablutions	ablution	NOM
abnégation	abnégation	NOM
aboi	aboi	NOM
aboie	aboyer	VER
aboiement	aboiement	NOM
aboiements	aboiement	NOM
aboient	aboyer	VER
aboiera	aboyer	VER
aboierait	aboyer	VER
aboieront	aboyer	VER
aboies	aboyer	VER
abois	aboi	NOM
aboli	aboli	ADJ
aboli	abolir	VER
abolie	aboli	ADJ
abolie	abolir	VER
abolies	aboli	ADJ
abolies	abolir	VER
abolir	abolir	VER
abolira	abolir	VER
abolirait	abolir	VER
aboliras	abolir	VER
abolis	aboli	ADJ
abolis	abolir	VER
abolissaient	abolir	VER
abolissais	abolir	VER
abolissait	abolir	VER
abolissant	abolir	VER
abolissent	abolir	VER
abolissions	abolir	VER
abolissons	abolir	VER
abolit	abolir	VER
abolition	abolition	NOM
abolitionniste	abolitionniste	ADJ
abolitionniste	abolitionniste	NOM
abolitionnistes	abolitionniste	ADJ
abolitionnistes	abolitionniste	NOM
abominable	abominable	ADJ
abominablement	abominablement	ADV
abominables	abominable	ADJ
abominaient	abominer	VER
abomination	abomination	NOM
abominations	abomination	NOM
abomine	abominer	VER
abominer	abominer	VER
abonda	abonder	VER
abondai	abonder	VER
abondaient	abonder	VER
abondais	abonder	VER
abondait	abonder	VER
abondamment	abondamment	ADV
abondance	abondance	NOM
abondant	abondant	ADJ
abondant	abonder	VER
abondante	abondant	ADJ
abondantes	abondant	ADJ
abondants	abondant	ADJ
abondassent	abonder	VER
abonde	abonder	VER
abondent	abonder	VER
abonder	abonder	VER
abondé	abonder	VER
abonnai	abonner	VER
abonnant	abonner	VER
abonne	abonner	VER
abonnement	abonnement	NOM
abonnements	abonnement	NOM
abonner	abonner	VER
abonnez	abonner	VER
abonnât	abonner	VER
abonné	abonner	VER
abonné	abonné	ADJ
abonné	abonné	NOM
abonnée	abonner	VER
abonnée	abonné	ADJ
abonnée	abonné	NOM
abonnées	abonner	VER
abonnées	abonné	NOM
abonnés	abonner	VER
abonnés	abonné	ADJ
abonnés	abonné	NOM
abord	abord	NOM
aborda	aborder	VER
abordable	abordable	ADJ
abordables	abordable	ADJ
abordage	abordage	NOM
abordages	abordage	NOM
abordai	aborder	VER
abordaient	aborder	VER
abordais	aborder	VER
abordait	aborder	VER
abordant	aborder	VER
aborde	aborder	VER
abordent	aborder	VER
aborder	aborder	VER
abordera	aborder	VER
aborderai	aborder	VER
aborderaient	aborder	VER
aborderais	aborder	VER
aborderait	aborder	VER
aborderiez	aborder	VER
aborderions	aborder	VER
aborderons	aborder	VER
aborderont	aborder	VER
abordes	aborder	VER
abordez	aborder	VER
abordiez	aborder	VER
abordions	aborder	VER
abordons	aborder	VER
abords	abord	NOM
abordâmes	aborder	VER
abordèrent	aborder	VER
abordé	aborder	VER
abordé	abordé	ADJ
abordée	aborder	VER
abordées	aborder	VER
abordées	abordé	ADJ
abordés	aborder	VER
abordés	abordé	ADJ
aborigène	aborigène	ADJ
aborigène	aborigène	NOM
aborigènes	aborigène	ADJ
aborigènes	aborigène	NOM
abornement	abornement	NOM
abortif	abortif	ADJ
abortive	abortif	ADJ
abortives	abortif	ADJ
abouchaient	aboucher	VER
abouchais	aboucher	VER
abouchait	aboucher	VER
abouchant	aboucher	VER
abouchements	abouchement	NOM
aboucher	aboucher	VER
abouché	aboucher	VER
abouchée	aboucher	VER
abouchés	aboucher	VER
aboule	abouler	VER
abouler	abouler	VER
aboules	abouler	VER
aboulez	abouler	VER
aboulie	aboulie	NOM
aboulique	aboulique	NOM
abouliques	aboulique	ADJ
abounas	abouna	NOM
about	about	NOM
aboutait	abouter	VER
abouti	abouti	ADJ
abouti	aboutir	VER
aboutie	abouti	ADJ
aboutie	aboutir	VER
aboutir	aboutir	VER
aboutira	aboutir	VER
aboutirai	aboutir	VER
aboutiraient	aboutir	VER
aboutirais	aboutir	VER
aboutirait	aboutir	VER
aboutiras	aboutir	VER
aboutirent	aboutir	VER
aboutirons	aboutir	VER
aboutiront	aboutir	VER
aboutis	abouti	ADJ
aboutis	aboutir	VER
aboutissaient	aboutir	VER
aboutissait	aboutir	VER
aboutissant	aboutir	VER
aboutissant	aboutissant	NOM
aboutissants	aboutissant	NOM
aboutisse	aboutir	VER
aboutissement	aboutissement	NOM
aboutissent	aboutir	VER
aboutissez	aboutir	VER
aboutissiez	aboutir	VER
aboutissions	aboutir	VER
aboutit	aboutir	VER
aboutonnai	aboutonner	VER
aboutons	abouter	VER
aboutîmes	aboutir	VER
aboya	aboyer	VER
aboyaient	aboyer	VER
aboyait	aboyer	VER
aboyant	aboyant	ADJ
aboyant	aboyer	VER
aboyante	aboyant	ADJ
aboyer	aboyer	VER
aboyeur	aboyeur	ADJ
aboyeur	aboyeur	NOM
aboyeurs	aboyeur	ADJ
aboyeurs	aboyeur	NOM
aboyons	aboyer	VER
aboyèrent	aboyer	VER
aboyé	aboyer	VER
abracadabra	abracadabra	NOM
abracadabrant	abracadabrant	ADJ
abracadabrante	abracadabrant	ADJ
abracadabrantes	abracadabrant	ADJ
abracadabrants	abracadabrant	ADJ
abracadabré	abracadabrer	VER
abrasif	abrasif	ADJ
abrasif	abrasif	NOM
abrasifs	abrasif	ADJ
abrasifs	abrasif	NOM
abrasion	abrasion	NOM
abrasive	abrasif	ADJ
abrasé	abraser	VER
abraxas	abraxas	NOM
abreuva	abreuver	VER
abreuvage	abreuvage	NOM
abreuvaient	abreuver	VER
abreuvait	abreuver	VER
abreuvant	abreuver	VER
abreuve	abreuver	VER
abreuvent	abreuver	VER
abreuver	abreuver	VER
abreuvera	abreuver	VER
abreuveraient	abreuver	VER
abreuvez	abreuver	VER
abreuvoir	abreuvoir	NOM
abreuvoirs	abreuvoir	NOM
abreuvons	abreuver	VER
abreuvé	abreuver	VER
abreuvé	abreuvé	ADJ
abreuvée	abreuver	VER
abreuvés	abreuver	VER
abreuvés	abreuvé	ADJ
abri	abri	NOM
abri-refuge	abri-refuge	NOM
abribus	abribus	NOM
abricot	abricot	ADJ
abricot	abricot	NOM
abricotez	abricoter	VER
abricotier	abricotier	NOM
abricotiers	abricotier	NOM
abricotine	abricotine	NOM
abricots	abricot	NOM
abris	abri	NOM
abrita	abriter	VER
abritai	abriter	VER
abritaient	abriter	VER
abritais	abriter	VER
abritait	abriter	VER
abritant	abritant	ADJ
abritant	abriter	VER
abrite	abriter	VER
abritent	abriter	VER
abriter	abriter	VER
abritera	abriter	VER
abriterait	abriter	VER
abriterons	abriter	VER
abriteront	abriter	VER
abrites	abriter	VER
abritez	abriter	VER
abritiez	abriter	VER
abritions	abriter	VER
abritons	abriter	VER
abritâmes	abriter	VER
abritèrent	abriter	VER
abrité	abriter	VER
abrité	abrité	ADJ
abritée	abriter	VER
abritée	abrité	ADJ
abritées	abriter	VER
abrités	abriter	VER
abrités	abrité	ADJ
abrogation	abrogation	NOM
abrogent	abroger	VER
abroger	abroger	VER
abrogé	abroger	VER
abrogé	abrogé	ADJ
abrogée	abroger	VER
abrogées	abroger	VER
abrogés	abroger	VER
abrupt	abrupt	ADJ
abrupt	abrupt	NOM
abrupte	abrupt	ADJ
abruptement	abruptement	ADV
abruptes	abrupt	ADJ
abrupts	abrupt	ADJ
abrupts	abrupt	NOM
abruti	abruti	ADJ
abruti	abruti	NOM
abruti	abrutir	VER
abrutie	abruti	ADJ
abrutie	abruti	NOM
abrutie	abrutir	VER
abruties	abruti	ADJ
abruties	abruti	NOM
abruties	abrutir	VER
abrutir	abrutir	VER
abrutira	abrutir	VER
